question,language,domain,difficulty
有关制动对运动系统的影响的描述，错误的说法是,Chinese,sports_science,hard
One objection to Singer’s theory that he considers is that it:,English,philosophy,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw the bowling ball as hard as I could to try and break the pin setter. Scenario 2 | I told my daughter that she used incorrect grammar and that she should revise her sentences.",English,moral_scenarios,hard
"What endogenous substrate source provides the most energy during moderate to high intensity exercise?
",English,nutrition,hard
对于雌激素的生理作用，哪项是不恰当的,Chinese,human_sexuality,hard
"A partnership purchased five acres of unimproved land for purposes of residential development. A state law was subsequently passed requiring the city to prepare a general plan governing both land use and open-space development. The city's plan, with new density requirements, effectively limited development of the five-acre lot to a total of one to five single family residences. The partnership sued the city, asking for a declaratory judgment that the city had taken its property without just compensation in violation of the Fifth and Fourteenth Amendments. The partnership lost at the local and appellate levels. The United States Supreme Court agreed to hear the case  what did it decide?",English,professional_law,hard
从理论上说，如果不考虑其他因素，“体型大”和“寿命长”是动物容易罹患癌症最合理的两个答案。因为“体型大”意味着组成身体的细胞数量更多，而“寿命长”意味着需要更多的新生细胞来更新换代；细胞越多，细胞分裂随机突变的几率就越高。以下各项如果为真，最能质疑上述论证的是,Chinese,chinese_civil_service_exam,hard
A problem with relying on the representativeness heuristic when making a judgment about the characteristics of another person is that doing so:,English,professional_psychology,hard
Synthesis of an RNA/DNA hybrid from a single-stranded RNA template requires,English,college_biology,hard
The origins of Chinese civilization can be traced to:,English,prehistory,hard
Which of the following is the name for a coupon that is included in a package for later purchase?,English,marketing,hard
在负需求情况下，市场营销管理的任务是,Chinese,marketing,hard
中国现代第一部新诗集《尝试集》出版于,Chinese,chinese_literature,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My brother is in a wheelchair so I got him a skateboard video game. Scenario 2 | I put sugar in random cars' gas tanks.",English,moral_scenarios,hard
“泻南补北”法适用于,Chinese,traditional_chinese_medicine,hard
Allen's (2001) study of nurses showed that:,English,sociology,hard
甲在下班回家的路上遇到乙追打丙，甲便上前制止。由于乙没有注意到甲的到来，在挥拳打丙时不慎将甲的牙打掉一颗。如果乙、丙都有能力承担责任，则根据《侵权责任法》的规定，关于甲的损害，下列表述正确的是,Chinese,professional_law,hard
Which of these is not one of the official languages of the United Nations?,English,miscellaneous,hard
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",English,world_religions,hard
The focus of liberal feminists on equality is denounced by radical feminists as mistaken because:,English,jurisprudence,hard
甲在其制作的玉米馒头中违规超量添加色素，销售金额累计达22万元。此种色素为合法食品添加剂，超量使用不足以造成严重食物中毒事故或者其他严重食源性疾病。甲的行为应认定为,Chinese,college_law,hard
影响管理系统生存和发展的一切要素的总和是,Chinese,management,hard
资产负债表中“货币资金”项目填列的依据是,Chinese,professional_accounting,hard
计算机中处理数据的基本单位是,Chinese,computer_science,hard
Archaeological evidence for the domestication of cats suggests it occurred when and why?,English,prehistory,hard
依中国法规定，对于合同或财产权益纠纷提起的诉讼，如果合同在中国领域内签订或履行；或诉讼标的物在中国领域内，或被告在中国领域内有可供扣押的财产，或被告在中国领域内设有代表机构，人民法院即可行使管辖权，但这只适用于,Chinese,international_law,hard
"A pet store owner opened a store in a new town. She was not aware that the city council had recently passed a law prohibiting the sale of cats and dogs from a retail pet store. The statute had a provision that allowed the pet store to give space to a non-profit humane society to adopt animals from the pet store. The owner sued the city in federal court, claiming a violation of due process and equal protection under the Fourteenth Amendment. The court used the rational basis test to conclude that the statute served a legitimate state interest and was enforceable. The pet store owner appealed the decision. Will the appellate court likely affirm the decision of the lower court?",English,professional_law,hard
人们有意识地规划并在较短时间内实现的社会局部调整或全面改良的过程，被称为,Chinese,sociology,hard
谦虚谨慎、严于律己属于,Chinese,professional_psychology,hard
Statement 1| A U2F USB dongle prevents malware on the user’s computer from stealing the user’s second factor to authenticate as that user even when the user’s computer is turned off. Statement 2| A server using U2F can reliably determine that the user who is attempting to login is indeed behind the computer that sent the login request.,English,computer_security,hard
There are three basic types of persuasive advertising campaigns. Which of the following is NOT one of them?,English,public_relations,hard
民事诉讼主体主要包括法院、当事人和诉讼代理人。其中，当事人包括原告、被告和,Chinese,legal_and_moral_basis,hard
"____________ is a form of digital marketing that describes the use of the social web and social media (e.g. social networks, online communities, blogs or wikis) or any online collaborative technology for marketing activities, be it sales, public relations, research, distribution, or customer service.",English,marketing,hard
维持人体基本生命活动的能量消耗是,Chinese,nutrition,hard
David Baltimore is a molecular biologist. What did he discover?,English,virology,hard
梅特林克的《青鸟》、《不速之客》等作品是哪个流派戏剧的典型之作。,Chinese,arts,hard
下列对预测与决策关系的表述，不正确的一句是,Chinese,management,hard
当睫状肌收缩时， 可引起的生理效应是,Chinese,college_medicine,hard
意大利影片《偷自行车的人》属于,Chinese,arts,hard
中国古代妇女讲求“德”、“容”、“言”、“功”。这实际上是()的范畴。,Chinese,philosophy,hard
对物体（）所产生的知觉叫运动知觉。,Chinese,professional_psychology,hard
Which of the following is not one of the categories of research design?,English,marketing,hard
民主政治取代专制政治，这是公共关系产生的,Chinese,public_relations,hard
Archaeology differs from pseudoscientific speculation and fantasies about ancient extraterrestrials because:,English,prehistory,hard
长江三峡工程的校核洪水位和设计洪水位分别为[ ]。,Chinese,college_engineering_hydrology,hard
"A defendant who is an accountant has been charged with fraud for allegedly helping a client file false income tax returns by shifting substantial medical expenses from one year to another. The defendant has pleaded not guilty, claiming that he made an honest mistake as to the date the expenses were paid. At trial, the prosecutor offers evidence of the defendant's involvement in an earlier scheme to help a different client falsify tax returns in the same way. Is the evidence of the defendant's involvement in the earlier scheme admissible?",English,professional_law,hard
专门教育是以（）为基础的，能够在人的一般发展的基础上促进人的特殊发展。,Chinese,education,hard
"A man who owned riverfront property sued an upstream factory in federal court for polluting the river, seeking injunctive relief and $250,000 in damages. The factory moved for summary judgment on the ground of res judicata (claim preclusion), arguing that the man had sued on and lost an identical claim one year before. The court denied the motion. The factory has asked its attorney's advice as to whether it may appeal the court's denial of summary judgment in order to avoid an expensive trial. What advice should the attorney give?",English,professional_law,hard
土基现场CBR值测定结果与室内试验CBR值相比,Chinese,construction_project_management,hard
学校教育产生于,Chinese,education,hard
嗜铬细胞瘤术前常规使用的药物是,Chinese,professional_medicine,hard
"Using Fermat's theorem, find the remainder of 3^47 when it is divided by 23.",English,abstract_algebra,hard
"A state has recently enacted a statute requiring all prospective voters in state elections who wish to write-in a candidate to print the candidate's full name, and designate the office for which the candidate is running. The statute provides that such information must be written on the ballot in ink inan appropriate space. A write-in candidate is a German-American and is of the opinion that he needs a large turnout of German voters in order to win the election. As a result, his campaign manager decides to mail to every registered German voter a tear-off sticker, which bears the candidate's name and office for which he is running. Since many native German people are not proficient in reading and writing English, the campaign manager believes that many of the voters will have difficulty writing the candidate's name and office on the ballot. As a result, the campaign manager has mounted an extensive media campaign to inform voters on how to apply the stickers to the ballot. Five months prior to the election an election official notifies the candidate's campaign committee that the tear-off stickers do not comply with the state statute. In her letter, the official explains that state election officials are of the opinion that it is necessary for potential voters to write the candidate's name in ink. Therefore, she concludes that the stickers do not comply with statutory requirements. Three weeks later, the candidate filed suit in federal district court against state election officials, claiming that their interpretation of the state statute violates the U. S. Constitution. Which of the following sets forth the strongest constitutional argument the candidate could make against the interpretation of the statute by the state officials?",English,professional_law,hard
这一事件再次敲响警钟：旅游有风险，安全意识不能__。风险，有时来自陌生环境和游人的猎奇心理。因此，我们在旅游前一定要做足功课，对旅行目的地要有所认识和准备，不对风险抱侥幸心理。带孩子出去玩的家长尤其要加强警觉。同时，相关部门和景区方面，也要切实承担责任，为游客安全__。依次填入划横线部分最恰当的一项是,Chinese,chinese_civil_service_exam,hard
女性，45岁。两侧颈部淋巴结无痛肿大1个月，无原因发热3天入院，既往体健。查体：T38.5℃，双颈部各触及2个肿大淋巴结，最大者为2.5×1.5cm，左腹股沟可触及1个1.5×1cm淋巴结，均活动无压痛，巩膜无黄染，心肺检查未见异常，肝肋下0.5cm，脾肋下1cm。化验Hb115g/L，WBC8.2×109/L，Plt149×109/L，颈部淋巴结活检示弥漫性小-中等大小细胞浸润，细胞免疫表型：CD5(+)，CD20(+)，CyclinD1(+)。该患者的诊断是,Chinese,clinical_knowledge,hard
A magnetic force acting on a beam of electrons can change its,English,conceptual_physics,hard
一个国家全部法律规范在分类组合为不同的法律部门的基础上构成的有机联系的纺一整体，称为,Chinese,legal_and_moral_basis,hard
"An older adult who has received a message (e.g., it's going to rain tomorrow) would be most likely to remember what when telling another person?",English,human_aging,hard
The “needs” of both Murray and Maslow can be considered similar to ___________ from operant conditioning theory.,English,professional_psychology,hard
根据学习的定义，以下属于学习的现象是。,Chinese,professional_psychology,hard
The Mafia is an example of:,English,sociology,hard
下列生物属于病毒的是,Chinese,virology,hard
下面可用来说明均数抽样误差大小的是,Chinese,college_medical_statistics,hard
下列词语中没有错别字的一项是( ),Chinese,modern_chinese,hard
关于死刑缓期执行，下列说法错误的有,Chinese,professional_law,hard
"When the Heisenberg uncertainty principle is applied to a quantum mechanical particle in the lowest energy level of a one-dimensional box, which of the following is true?",English,college_chemistry,hard
关于食物特别动力作用的产生下列选项正确的是,Chinese,nutrition,hard
"An auditor has substantial doubt about the entity’s ability to continue as a going concern for a reasonable period of time because of negative cash flows and working capital deficiencies. Under these circumstances, the auditor would be most concerned about the",English,professional_accounting,hard
"A truck driver was making deliveries for his employer. After telling his employer by phone that he was going for lunch and getting approval, he pulled into the entrance of a restaurant where he intended to have his usual 30- minute lunch break. While entering the parking lot, the driver carelessly ran over and seriously injured a pedestrian. The injured person sued the driver and the driver's employer for negligence in causing her injuries. Is the employer liable?",English,professional_law,hard
如果边际收入大于边际成本，那么减少产量就会使,Chinese,economics,hard
The ATP store in muscle can only supply energy in high intensity exercise for about:,English,clinical_knowledge,hard
2脊柱节段运动的最大自由度为,Chinese,sports_science,hard
 ____________ occurs when a search engine company charges fees related to inclusion of websites in their search index.,English,marketing,hard
以下天于非参数检验的描还哪一项是错误的,Chinese,college_medical_statistics,hard
"A man and a woman are tennis partners who play regularly. Last January, the man slipped and fell while restocking grocery shelves at work. The man is suing the grocery store for damages, claiming that he suffers from pain in his back and legs as a result of the accident. At trial, the woman testified that five days prior to the accident, the man told her, ""I can't complete the tennis match because of pains in my back and legs. ""The trial judge should rule this testimony",English,professional_law,hard
驾驶机动车下陡坡、转弯、掉头时，最高速度不能超过多少,Chinese,chinese_driving_rule,hard
诉诸权威谬误的通常表现形式包括,Chinese,logical,hard
关于等长运动的描述，错误的是,Chinese,sports_science,hard
You observe the visible spectrum of a star viewed through a cloud of cool hydrogen gas.,English,astronomy,hard
Satellites in circular Earth orbit maintain a constant speed because gravitational force on them is,English,conceptual_physics,hard
"What is the worldwide prevalence of obesity?
",English,nutrition,hard
"Statement 1 | If K is a nonzero subgroup of a finitely generated free abelian group, then K is free abelian. Statement 2 | If K is a nonzero subgroup of a finitely generated free abelian group, then G / K is free abelian.",English,abstract_algebra,hard
Projective tests generally ___ than objective tests of personality.,English,human_aging,hard
古希腊斯巴达教育目的是培养,Chinese,chinese_teacher_qualification,hard
宣传型公共关系的具体形式有,Chinese,public_relations,hard
政校企一体化的办学或服务模式，其主导是,Chinese,education,hard
The 'demographic transition' is a social trend that involves:,English,sociology,hard
 Information collected for the first time specifically for a marketing research study is called:,English,marketing,hard
"When did the acquisition of raw materials from greater distances increase, and what does it indicate?",English,prehistory,hard
"A 16-month-old child who calls her pet cat “kitty” sees a dog for the first time and calls it “kitty.” In terms of Piaget’s theory of cognitive development, the child is displaying:",English,professional_psychology,hard
对于一个双减因模型，已知独立终止率满足:$q_x^{\prime(1)}=0.2，q_x^{\prime(2)}=0.4$，在各伴随单风险模型中，每一个原因在年龄内均服从均匀分布，则终止概率$q_x^{(2)}=( )$。,Chinese,college_actuarial_science,hard
Which of the following is used to remove the soil enclosing site materials?,English,prehistory,hard
“不同蛋白质有不同的空间构象”所指的含义是,Chinese,college_medicine,hard
In what ways is gender applicable to the field of Security Studies?,English,security_studies,hard
What is the fundamental basis of competition in a market with poorly differentiated products?,English,miscellaneous,hard
诗剧《浮士德》是谁的代表作。,Chinese,arts,hard
罐装食品中最耐热性最强的微生物是,Chinese,food_science,hard
The magnetic force on a moving charged particle can change the particle's,English,conceptual_physics,hard
"Anscombe claims that on Sidgwick’s view, the badness of an action must be estimated in light of:",English,philosophy,hard
根据马克思主义法学的观点，下列哪一种说法是错误的？,Chinese,jurisprudence,hard
Which of the following is a clustering algorithm in machine learning?,English,machine_learning,hard
"Which of the following cannot be a substrate for gluconeogenesis?
",English,nutrition,hard
下渗率总是[ ]。,Chinese,college_engineering_hydrology,hard
反转录酶催化的过程是,Chinese,genetics,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I have several guns that I allow my young children to use. Scenario 2 | I went to the bank to withdraw some money.",English,moral_scenarios,hard
"小燕在两岁时就学会了背""床前明月光，疑是地上霜……〞这首唐诗。按加涅的学习结果分类， 这里发生的学习是。",Chinese,professional_psychology,hard
"Computational complexity of Gradient descent is,",English,machine_learning,hard
一般，k-NN最近邻方法在（）的情况下效果较好,Chinese,machine_learning,hard
美国是在哪一年宣布退出《反导条约》的,Chinese,global_facts,hard
交感缩血管纤维分布最密集的血管是,Chinese,college_medicine,hard
The K-means algorithm:,English,machine_learning,hard
维护社会主义立法权威性的一项重要原则是,Chinese,jurisprudence,hard
"Rational choice theory is premised on the concept that actions are chosen based on the benefit to the individual. The three main assumptions of rational theory are completeness, transitivity, and independence of variables. This is most accurately described as what kind of system?",English,college_medicine,hard
"Which of the following contributes to vitamin B12 deficiency in older adults?
",English,nutrition,hard
干扰素的本质是,Chinese,virology,hard
针对曾把农民出售粮食和其它农产品视为投机倒把并予以惩办的做法，某国领导人指出：“投机倒把活动，如果从政治经济学意义上来理解，那它和‘正当’贸易就区分不开来。”体现该领导人这一观点的措施是,Chinese,chinese_history,hard
静差率与机械特性的关系是,Chinese,electrical_engineering,hard
性关系就是成长中的男女双方在社会化生活世界中经由交互作用而产生的价值观念与行为型态,Chinese,human_sexuality,hard
We were first able to accurately measure the diameter of Pluto from:,English,astronomy,hard
已知$T(0)$的分布为:$F_0(t)=\left\{\begin{array}{ll}t / 100，& 0<t \leqslant 100 \\ 1，& t>100\end{array}\right.$，则新生婴儿在 30 岁和 50 岁之间死亡的概率为 ( )。,Chinese,college_actuarial_science,hard
"Statement 1 | If H is a subgroup of a group G and a belongs to G, then aH = Ha. Statement 2 | If H is normal of G and a belongs to G, then ah = ha for all h in H.",English,abstract_algebra,hard
区别不同饮食风味流派的重要标志是,Chinese,chinese_food_culture,hard
长江三峡工程的水电站装机容量和多年平均年发电量分别为[],Chinese,college_engineering_hydrology,hard
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",English,miscellaneous,hard
"As of 2017, what percentage of Indians live in urban areas?",English,global_facts,hard
The work of Smart suggested that:,English,sociology,hard
真正的关系营销是达到关系双方的,Chinese,business_ethics,hard
How is the parvovirus family targeted to reduce disease?,English,virology,hard
意大利最大的通讯社是,Chinese,global_facts,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked up a penny in the parking lot today and kept it. Scenario 2 | I took home donations for the local thrift store that I saw outside its front door after closing hours.",English,moral_scenarios,hard
模式识别中，不属于马式距离较之于欧式距离的优点的是,Chinese,machine_learning,hard
How much more electrical energy will the United States need to generate if everyone drives electric cars?,English,miscellaneous,hard
"Which of the following statements about proteolysis is correct?
",English,nutrition,hard
在国家安全工作中，下列哪项权利是国家安全机关不能行使的?,Chinese,security_study,hard
"In Augustine’s view, lying is:",English,philosophy,hard
What fictional character claims to be 'smarter than the average bear'?,English,miscellaneous,hard
"According to Socrates, it is important that we discover what makes a particular action (e.g., a merciful or just act) the kind of action that it is, because without such knowledge:",English,philosophy,hard
某油漆生产企业为了生产经营的需要，收购了20家油漆经销商店，该增长战略属于,Chinese,marketing,hard
设 $f(x)$ 连续， 且满足 $f(x)=\int_0^{2 x} f\left(\frac{t}{2}\right) \mathrm{d} t+\ln 2$， 则 f(x)=.,Chinese,college_mathematics,hard
下列关于法的规范作用，表述正确的有,Chinese,jurisprudence,hard
"Of the following types of memory, which shows the biggest deficit with advanced age?",English,human_aging,hard
Phalloidin is a toxin made by the death cap mushroom. The toxin binds to actin subunits and disrupts actin function. Which of the following structures would be most directly affected by phalloidin?,English,college_biology,hard
用户收到了一封可疑的电子邮件，要求用户提供银行账户及密码，这是属于何种攻击手段？,Chinese,computer_security,hard
" According to the Humanity formulation of Kant's principle, we must treat persons",English,moral_disputes,hard
"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",English,abstract_algebra,hard
A patient is admitted after a head injury and sinks rapidly into a coma. An MRI scan indicates an extradural haemorrhage because extravasated blood can be detected between the,English,anatomy,hard
"The emission spectrum of the doubly ionized lithium atom Li++ (Z = 3, A = 7) is identical to that of a hydrogen atom in which all the wavelengths are",English,college_physics,hard
某中年女性下肢静脉曲张需行静脉剥脱术，请问不能结扎的属支是,Chinese,professional_medicine,hard
Which of the following is not an example of a behavioural variable?,English,marketing,hard
美国同中华人民共和国正式建立外交关系是在哪一届总统任期,Chinese,global_facts,hard
我国国土辽阔，全国土地面积占世界陆地面积的7.4%，耕地面积占全球耕地总面积的（）左右,Chinese,agronomy,hard
《荀子·儒效》曰:“四海之内差一家，通达之属，莫不从服，夫之谓人师”体现了教师职业的,Chinese,education,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spent my afternoon swimming in the pool. Scenario 2 | I made my partner scream for help the entire evening.",English,moral_scenarios,hard
按电源容量粗略估算，下列不符合允许直接启动笼型电动机功率的规定是,Chinese,electrical_engineering,hard
佛教的出家人姓“释”是由谁所提出？,Chinese,world_religions,hard
枢折挈见于《素问·痿论》中痿证的,Chinese,traditional_chinese_medicine,hard
"Based on the analysis of oxygen isotope ratios in the shells of gastropods found in the sediments of an ancient lake, what happened to civilization in the Indus Valley?",English,prehistory,hard
An auditor decides to use the blank form of positive accounts receivable confirmation. The auditor should be aware that the blank form may be ineffective because,English,professional_accounting,hard
"According to Kant, laws of nature are laws according to which __________, and laws of freedom are laws according to which __________.",English,philosophy,hard
假设$m_{40}^{(+)}=0.2，q_{40}^{\prime(1)}=0.1$，在多减因模型中的各减因导致的减少人数服从均匀分布，则$q_{40}^{\prime(2)}=$。,Chinese,college_actuarial_science,hard
咏叹调是歌剧中的声乐独唱曲，始用于17世纪初的格局和康塔塔，此后经历发展，变得更为精致复杂。以下关于咏叹调的表述，不正确的选项是,Chinese,chinese_teacher_qualification,hard
Which of the following terms refers to Archaic Greek statues whose poses‚Äîrigidly frontal with clenched fists‚Äîrecall the stance of ancient Egyptian statues?,English,miscellaneous,hard
The theory that says mental states are nothing but brain states is known as _____.,English,philosophy,hard
"A group of residents sued a neighboring strip club for creating a nuisance. There are continuous nightly activities by the club, including loud music, unruly customers, throwing cans and bottles,urinating in public, shouting profanities, fist-fighting, and acts of vandalism. The neighbors are requesting an injunction to stop these activities and for remedial measures. The club defends that it cannot control its customers after they leave the premises, and it reminds the court that it has zoning approval. Its approval, however, is based on a grandfather clause that allows it as a non-conforming use  otherwise, the area surrounding the club is strictly residential. Will the court likely issue an injunction to attempt to alleviate the neighbor's problems?",English,professional_law,hard
抽样误差指的是:,Chinese,college_medical_statistics,hard
设 $f(x， y)$ 具有一阶偏导数， 且对任意的 $(x， y)$， 都有 $\frac{\partial f(x， y)}{\partial x}>0， \frac{\partial f(x， y)}{\partial y}<0$， 则,Chinese,college_mathematics,hard
下列各组字，属于异体字关系的一组是,Chinese,ancient_chinese,hard
What are two examples of an evaluation of outcome? ,English,public_relations,hard
善意履行国际义务的依据是,Chinese,international_law,hard
"Prior to commencing the compilation of financial statements of a nonissuer, an accountant is required to",English,professional_accounting,hard
" An organization can offer standard products at acceptable levels of quality, yet still generate above-average profit margin by adopting _____________",English,marketing,hard
散文《童年二题》的作者是,Chinese,chinese_literature,hard
Find the characteristic of the ring Z x Z.,English,abstract_algebra,hard
早期的跨国公司是（）向外扩张的产物,Chinese,business_ethics,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I use my medical training to develop protections against bioweapons. Scenario 2 | I parked right in front of an ambulance.",English,moral_scenarios,hard
"A construction worker sued an insulation manufacturer in federal court, claiming that he had developed a chronic health condition as a result of 20 years of exposure to the manufacturer's insulation at his work sites. The manufacturer answered, denying all liability and stating that it had never supplied its insulation to the worker's employer. The worker's attorney deposed the manufacturer's president, and the manufacturer's attorney deposed the worker. Immediately thereafter, the manufacturer moved for summary judgment on the ground that the worker had no evidence showing that the insulation had ever been used by the worker's employer. What would be the worker's best response to the motion for summary judgment?",English,professional_law,hard
在19世纪后半叶，棉纺织品始终列为中国进口商品中的重要项目。1874年至1894年20年间，洋布进口值增长88.4%。洋纱进口值增长将近986.7%。以上现象表明,Chinese,chinese_history,hard
"On the basis of scientific studies showing a causal relationship between the consumption of ""red meat"" (principally beef) and certain forms of cancer, a federal statute prohibits all commercial advertising of red meat products. The statute does not, however, restrict the sale of red meat products. Producers of red meat have challenged the statute as a violation of their free speech rights protected by the First Amendment. Is the court likely to find the statute constitutional?",English,professional_law,hard
胆红素在肝脏中的转化主要是,Chinese,college_medicine,hard
包括一个或一个以上较短命题作为其自身的一部分的命题称为,Chinese,logical,hard
Replacing a “failure identity” with a “success identity” is a goal of treatment for practitioners of _______ therapy.,English,professional_psychology,hard
研究人类性状遗传较好的方法是,Chinese,genetics,hard
女性，45岁。自觉双手指关节疼痛2年，近半年感觉关节僵硬。血清学检查：类风湿因子阳性。该患者关节内的主要病理改变是,Chinese,clinical_knowledge,hard
下列以“损不足以奉有余”为作品主题的戏剧是,Chinese,chinese_literature,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I removed the limbs from my dead partner, one by one. Scenario 2 | I found a nest with newborn rabbits and nurtured them to health.",English,moral_scenarios,hard
若脂⽤双符号位，则发⽣正溢的特征是：双符号位为,Chinese,computer_science,hard
马克思主义的中国民族理论具有（）和科学性统一的特点。,Chinese,ethnology,hard
胃和小肠都具有的运动形式是,Chinese,college_medicine,hard
成组设计的方差分析中，必然有,Chinese,college_medical_statistics,hard
对于组织变革的目标描述不正确的是,Chinese,management,hard
When may an issue fail to become securitized?,English,security_studies,hard
 Rome claimed that their bishop (pope) was the director successor of which leader?,English,world_religions,hard
亚急性感染性心内膜炎少见于,Chinese,professional_medicine,hard
大学生既想担任学生干部来锻炼自己，又怕占用时间太多而影响了学习，这种现象属于,Chinese,professional_psychology,hard
"When performing a(n) ________ task, group members select a solution offered by one of the group members as the group’s solution.",English,professional_psychology,hard
根据刑事诉讼法的规定，()在审判刑事案件的过程中，可以依法认定恐怖活动组织和人员。,Chinese,security_study,hard
Analyses of social power in consulting relationships emphasize the importance of which two forms of power,English,professional_psychology,hard
下列缺陷中能够由工频耐压试验考核的是,Chinese,electrical_engineering,hard
A “benefit” of research may accrue:,English,virology,hard
提出“狗咬人不是新闻，人咬狗才是新闻”这一观点的是,Chinese,journalism,hard
新纹状体是指,Chinese,anatomy,hard
The undersea chasm between New Guinea/Australia and Java/Borneo is called the __________.,English,prehistory,hard
"The critical pH below which demineralisation of tooth enamel occurs is usually around:
",English,nutrition,hard
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",English,conceptual_physics,hard
Which of the following types of advertising is being used when a retail store agrees to share advertising costs for a consumer product with the national distributor of the product?,English,marketing,hard
Which of the following is required for both paramagnetism and ferromagnetism?,English,college_chemistry,hard
"In a faulty analogy, the things being compared are...",English,logical_fallacies,hard
"A marketing research firm contracts with clients to conduct a complete marketing research project from data collection, analysis, and reporting. It is a__________ firm.",English,marketing,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I built a snowman inside the beautiful home. Scenario 2 | I popped the balloon and gave it back to the child.",English,moral_scenarios,hard
让谈判者通过介绍相互认识的阶段是谈判的,Chinese,public_relations,hard
The coronary arteries,English,anatomy,hard
"Tom and Jerry entered into a contract whereby Tom agreed to sell Jerry $1,000 worth of heroin, an illegal substance. This is an example of a:",English,jurisprudence,hard
 What is the name of the most authoritative Kabbalah text?,English,world_religions,hard
“格物、致知、诚意、正心、修身、齐家、治国、平天下”出自(),Chinese,college_education,hard
